                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1841,                 3.9804,                 1.9494,                0.00104,                0.26537,                0.11662,                0.05462,                 1.6729,                 3.8527,                 1.6656,              0.0004065,              0.0004065,              0.0004065
                      2,                 1.8845,                 2.9203,                 1.5933,                0.98516,                0.04237,                0.16583,                0.07422,                 1.8745,                 3.5624,                 1.7695,             0.00080687,             0.00080687,             0.00080687
                      3,                 1.8157,                 2.3907,                 1.5095,                0.30455,                0.34366,                0.32428,                0.15034,                 1.9111,                 3.3427,                 1.9117,              0.0011907,              0.0011907,              0.0011907
                      4,                 1.8323,                 2.2323,                 1.5221,                 0.3254,                0.37358,                0.31662,                0.10657,                 2.0821,                 2.6944,                  1.921,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.7973,                 2.1135,                 1.5322,                0.65693,                 0.4502,                0.49621,                0.21742,                 1.9392,                 2.3457,                  1.814,               0.001151,               0.001151,               0.001151
                      6,                 1.7665,                 1.9284,                  1.505,                0.57382,                0.60238,                0.59958,                0.28459,                 1.8211,                 1.7676,                 1.6083,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.7529,                 1.8472,                 1.4931,                0.66471,                 0.5686,                0.62418,                0.29822,                 1.8352,                  1.747,                   1.66,              0.0011015,              0.0011015,              0.0011015
                      8,                  1.675,                 1.7607,                 1.4597,                0.55831,                0.67793,                0.63647,                0.28315,                 1.8991,                 1.7373,                 1.6527,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.6639,                 1.6629,                 1.4284,                0.41546,                0.54942,                0.47243,                0.19655,                 1.9742,                 2.1806,                 1.6792,               0.001052,               0.001052,               0.001052
                     10,                 1.6863,                 1.5691,                 1.4433,                0.58992,                 0.6155,                0.62436,                0.29651,                  1.824,                 1.7696,                 1.5994,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.6515,                 1.4909,                  1.447,                0.70802,                0.60224,                0.66603,                0.28426,                 1.9072,                 1.6052,                 1.7069,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.6704,                 1.5265,                 1.4512,                0.79256,                0.61715,                0.69358,                 0.3381,                  1.789,                 1.5837,                 1.5845,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.6363,                 1.4687,                 1.4105,                0.75112,                0.66847,                0.70294,                0.33091,                 1.7914,                 1.4305,                 1.5622,               0.000953,               0.000953,               0.000953
                     14,                  1.617,                 1.4116,                 1.4065,                0.73851,                0.69495,                0.72324,                0.33171,                 1.8248,                 1.3867,                 1.5866,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.6258,                 1.4016,                 1.4201,                0.69489,                0.65786,                0.68261,                0.29916,                 1.9486,                 1.5275,                 1.7154,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.6036,                 1.3379,                 1.3952,                0.75697,                0.66967,                0.73175,                0.36181,                 1.7298,                 1.3839,                  1.516,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.5718,                 1.3085,                 1.3737,                0.75428,                0.69464,                0.73215,                0.36016,                 1.7553,                  1.436,                 1.5605,               0.000854,               0.000854,               0.000854
                     18,                 1.6067,                 1.2956,                 1.4088,                0.73528,                0.71733,                0.74574,                0.36732,                 1.7567,                 1.3151,                 1.5694,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.5611,                 1.2342,                 1.3582,                0.77989,                 0.6878,                0.75344,                0.36307,                 1.7584,                 1.3178,                 1.5455,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.5396,                  1.198,                 1.3596,                0.75944,                 0.6543,                 0.7542,                 0.3626,                  1.769,                 1.4082,                 1.5612,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.5517,                 1.2239,                 1.3641,                0.72756,                0.74294,                0.75373,                0.35317,                  1.774,                 1.2857,                 1.5673,               0.000755,               0.000755,               0.000755
                     22,                 1.4975,                 1.1913,                 1.3365,                0.73002,                0.71381,                0.75685,                0.38285,                 1.7499,                 1.2803,                 1.5384,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.4786,                 1.1306,                 1.3298,                0.72445,                0.69137,                0.73366,                0.37671,                 1.7088,                 1.4526,                 1.5142,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.5025,                 1.1504,                 1.3338,                0.73196,                0.68005,                 0.7363,                0.35841,                 1.7873,                 1.3445,                 1.5534,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.4948,                 1.1112,                 1.3252,                0.78119,                 0.7263,                0.78698,                0.38739,                 1.7816,                 1.1844,                 1.5505,               0.000656,               0.000656,               0.000656
                     26,                 1.4635,                   1.09,                 1.3092,                0.76946,                0.72881,                0.78039,                0.38296,                 1.7399,                 1.2491,                 1.5274,             0.00063125,             0.00063125,             0.00063125
