                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.5215,                 1.1813,                 1.6989,                0.70795,                0.63756,                0.68798,                0.33778,                  1.826,                 1.4228,                 2.1433,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.4927,                 1.1734,                 1.6693,                0.70965,                0.71677,                0.73304,                0.36355,                 1.7948,                  1.322,                 2.1163,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.5165,                 1.1128,                 1.6773,                0.68703,                0.67603,                0.70662,                 0.3471,                 1.7917,                 1.4148,                 2.1094,               0.000359,               0.000359,               0.000359
                     38,                 1.4833,                  1.101,                 1.6345,                0.69746,                0.71057,                0.73734,                0.36295,                 1.7965,                 1.3338,                 2.1037,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.4796,                 1.0648,                 1.6549,                0.69247,                0.69967,                0.72364,                0.35361,                 1.8212,                 1.3245,                 2.1345,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.4908,                 1.0709,                 1.6654,                0.72482,                0.70956,                0.73132,                0.36007,                 1.8016,                 1.3057,                 2.1329,             0.00028475,             0.00028475,             0.00028475
                     41,                  1.529,                 1.0285,                 1.8352,                0.75823,                0.70778,                0.73428,                0.36566,                 1.8109,                 1.2796,                 2.1228,                0.00026,                0.00026,                0.00026
                     42,                 1.4697,                0.97785,                 1.8134,                0.73234,                0.68327,                0.72068,                0.35326,                 1.8271,                 1.2864,                 2.1447,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.4662,                0.93525,                 1.7929,                 0.7471,                0.72638,                0.74743,                0.36975,                  1.802,                 1.2313,                 2.1233,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.4286,                0.91815,                 1.7434,                0.73582,                0.74482,                0.75735,                0.38701,                 1.7735,                 1.2274,                 2.1041,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.3808,                0.89839,                 1.7514,                0.74442,                0.71407,                0.74268,                0.37111,                 1.8083,                  1.271,                 2.1412,               0.000161,               0.000161,               0.000161
                     46,                 1.3789,                 0.8638,                 1.7243,                0.80434,                 0.6709,                0.75385,                 0.3807,                 1.7894,                 1.2554,                 2.1117,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.3769,                0.85841,                 1.7339,                0.76199,                 0.7204,                0.75668,                0.37691,                 1.7958,                 1.2397,                  2.116,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.3201,                0.83119,                 1.6999,                0.74767,                0.71002,                0.74258,                0.37891,                 1.7911,                 1.2243,                 2.1275,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.3273,                0.81141,                 1.6781,                0.77321,                0.70593,                0.75213,                0.38147,                 1.7876,                 1.2364,                 2.1333,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.3034,                0.80289,                 1.6498,                0.78152,                0.70833,                0.75302,                0.37946,                 1.7946,                 1.2385,                 2.1437,              3.725e-05,              3.725e-05,              3.725e-05
