                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4188,                 1.0294,                 1.3447,                0.79423,                0.71835,                0.77196,                0.37941,                 1.8079,                 1.1779,                 1.6546,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.3603,                 0.9869,                 1.3185,                0.79241,                 0.6921,                0.75767,                0.37623,                 1.8508,                 1.2147,                 1.7132,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.3794,                0.97357,                 1.3144,                0.79853,                 0.6871,                 0.7578,                0.36949,                 1.8377,                 1.2504,                 1.7064,               0.000359,               0.000359,               0.000359
                     38,                 1.3625,                0.96288,                 1.3181,                0.79881,                0.72258,                0.78906,                0.37518,                  1.855,                 1.1899,                 1.7011,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.3664,                0.90732,                 1.3226,                0.79964,                 0.7335,                0.77912,                0.38493,                 1.8309,                 1.1903,                 1.6847,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.3656,                0.92169,                 1.3139,                0.81456,                0.72067,                0.78305,                0.38514,                  1.836,                 1.1458,                 1.6743,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.3675,                0.83883,                 1.3536,                0.82245,                0.73294,                 0.7927,                0.38445,                 1.8575,                 1.1186,                 1.6872,                0.00026,                0.00026,                0.00026
                     42,                 1.3177,                0.78836,                 1.3526,                0.76111,                0.75724,                  0.783,                0.37938,                  1.846,                 1.1244,                 1.6933,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.2836,                0.76357,                 1.3177,                0.80688,                0.71877,                0.78365,                0.38049,                 1.8352,                 1.1473,                 1.6997,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.2607,                0.74886,                 1.2922,                0.81386,                0.73336,                0.78337,                0.37971,                 1.8474,                 1.1361,                 1.7021,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.2379,                 0.7218,                 1.2873,                0.74375,                0.76801,                0.77411,                0.38132,                  1.857,                 1.1419,                 1.7094,               0.000161,               0.000161,               0.000161
                     46,                 1.2166,                0.70279,                 1.2634,                0.78395,                 0.7604,                0.78681,                0.38287,                 1.8632,                 1.1279,                 1.7372,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.1946,                0.69628,                 1.2736,                 0.7924,                0.72886,                0.77258,                0.37972,                 1.8595,                 1.1207,                 1.7325,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.1629,                0.67976,                  1.245,                0.79531,                0.73887,                0.78177,                0.38557,                 1.8541,                 1.1196,                 1.7346,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.1491,                0.65855,                 1.2283,                0.78977,                0.73166,                0.77245,                0.38293,                 1.8615,                 1.1162,                 1.7482,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.1399,                0.65596,                 1.2128,                 0.7894,                0.74536,                0.78289,                0.38472,                 1.8555,                 1.0996,                 1.7372,              3.725e-05,              3.725e-05,              3.725e-05
