                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                 1.5869,                 1.1312,                 1.5776,                0.73041,                0.70774,                0.75504,                0.36717,                 1.8205,                 1.2973,                 2.0457,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.5831,                 1.1477,                 1.6012,                0.67187,                0.73559,                0.74772,                0.37033,                 1.7864,                 1.2489,                 2.0054,             0.00058175,             0.00058175,             0.00058175
                     29,                 1.5555,                 1.0636,                 1.5416,                0.73716,                0.71769,                0.76214,                0.37019,                 1.8737,                 1.2228,                 2.0995,               0.000557,               0.000557,               0.000557
                     30,                 1.5108,                 1.0697,                 1.5428,                0.72099,                0.69325,                0.73847,                0.36189,                 1.8007,                 1.2588,                 2.0257,             0.00053225,             0.00053225,             0.00053225
                     31,                 1.4853,                 1.0398,                 1.5164,                0.72607,                0.69451,                0.73577,                0.35172,                 1.9035,                 1.2303,                 2.1261,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.5155,                 1.0308,                 1.5372,                0.76522,                0.69728,                0.75487,                  0.373,                 1.7552,                 1.2454,                 1.9843,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.4847,                 1.0004,                 1.5275,                0.73819,                0.73196,                0.77014,                0.37325,                 1.8265,                 1.2415,                 2.0445,               0.000458,               0.000458,               0.000458
                     34,                 1.4744,                0.98585,                 1.5303,                0.78211,                0.71501,                0.77095,                0.37454,                 1.8515,                 1.1962,                 2.0756,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.4675,                 1.0318,                 1.5319,                0.74603,                0.75573,                0.77443,                0.38717,                 1.7849,                 1.1741,                 2.0197,              0.0004085,              0.0004085,              0.0004085
                     36,                 1.4168,                0.98266,                 1.4865,                0.75904,                0.74442,                0.77515,                0.38577,                 1.8179,                  1.215,                 2.0458,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.4267,                0.93643,                 1.4913,                0.77715,                0.75921,                0.78591,                0.38747,                 1.8085,                 1.1758,                 2.0502,               0.000359,               0.000359,               0.000359
                     38,                 1.4365,                0.95748,                 1.4829,                0.73803,                0.76929,                 0.7864,                0.38828,                 1.8129,                  1.151,                 2.0638,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.3939,                0.91451,                 1.4758,                0.76303,                0.74748,                0.79026,                0.39255,                 1.8282,                 1.1597,                 2.0709,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.3693,                0.91085,                 1.4675,                0.71613,                0.75319,                0.77055,                0.38636,                 1.8054,                 1.1885,                 2.0527,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.4055,                0.86472,                  1.641,                0.79121,                0.67802,                0.74915,                0.37225,                 1.8211,                  1.209,                 2.0559,                0.00026,                0.00026,                0.00026
                     42,                 1.3556,                0.80878,                 1.6186,                0.73701,                0.71344,                0.75706,                0.36683,                 1.8627,                 1.2176,                 2.1219,             0.00023525,             0.00023525,             0.00023525
                     43,                  1.326,                0.77479,                 1.5965,                0.77752,                0.76222,                0.79785,                0.39141,                 1.8134,                 1.1174,                 2.0818,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.3027,                0.75835,                 1.5605,                0.78702,                0.75085,                0.78357,                0.38824,                 1.8241,                 1.1611,                 2.0913,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.2653,                0.73935,                 1.5647,                0.78125,                0.73889,                0.78527,                0.38877,                  1.815,                 1.1419,                 2.0849,               0.000161,               0.000161,               0.000161
                     46,                 1.2476,                0.71802,                 1.5265,                0.79282,                0.75267,                0.79346,                0.38695,                 1.8301,                 1.1196,                 2.1056,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.2287,                0.70029,                 1.5242,                0.79187,                0.75313,                0.78858,                0.38524,                  1.838,                 1.1463,                 2.1265,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.1934,                0.67551,                 1.5126,                0.76328,                0.75204,                0.78984,                0.38153,                 1.8337,                 1.1425,                 2.1421,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                 1.1803,                0.67395,                 1.4749,                0.77549,                0.76479,                0.79297,                0.38188,                 1.8451,                 1.1416,                 2.1651,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                 1.1644,                0.64916,                 1.4564,                 0.7747,                 0.7516,                0.79646,                0.38397,                 1.8552,                 1.1399,                 2.1776,              3.725e-05,              3.725e-05,              3.725e-05
