                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1854,                 3.6472,                 2.0683,                0.78174,                0.07888,                0.02324,                0.00529,                 2.1194,                 3.8044,                 3.0612,              0.0004065,              0.0004065,              0.0004065
                      2,                 2.0543,                 2.7033,                 1.9268,                0.50107,                0.24733,                0.00131,                0.00049,                 3.0085,                    inf,                 15.066,             0.00080687,             0.00080687,             0.00080687
                      3,                 1.9814,                 2.3167,                 1.8491,                0.25178,                 0.0107,                 0.0005,                  7e-05,                 3.8786,                  7.127,                 17.667,              0.0011907,              0.0011907,              0.0011907
                      4,                 2.0049,                 2.2222,                 1.8652,                0.10898,                0.11611,                0.06524,                0.02019,                 2.5096,                  9.148,                 3.0581,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.9474,                 2.1292,                 1.8442,                 0.5785,                0.34696,                0.34973,                0.12586,                 2.2559,                 7.6151,                 2.7915,               0.001151,               0.001151,               0.001151
                      6,                 1.9238,                 1.8924,                 1.8041,                 0.2413,                0.35188,                0.22243,                0.07137,                 2.4114,                 6.9181,                 2.6572,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.8821,                 1.8064,                 1.7836,                0.52249,                0.53375,                0.52604,                0.21472,                 2.0781,                 2.1905,                 2.3749,              0.0011015,              0.0011015,              0.0011015
                      8,                 1.8016,                 1.7082,                 1.7354,                 0.5888,                0.51498,                0.51756,                0.22881,                 1.8904,                 1.9948,                 2.1193,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.7853,                  1.635,                 1.7292,                0.55882,                0.46954,                0.48025,                0.21457,                 2.0911,                 2.1977,                 2.2724,               0.001052,               0.001052,               0.001052
                     10,                 1.7993,                 1.5703,                 1.7074,                0.74513,                0.35635,                0.43277,                0.17379,                 2.0538,                  2.709,                 2.2042,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.7625,                 1.5029,                 1.6906,                0.62844,                0.57538,                 0.5989,                0.27597,                 1.8763,                 1.7019,                 2.0765,              0.0010025,              0.0010025,              0.0010025
                     12,                 1.7365,                 1.4731,                 1.7098,                0.57033,                0.59778,                0.62884,                 0.2926,                 1.8519,                 1.7195,                 2.0705,             0.00097775,             0.00097775,             0.00097775
                     13,                  1.727,                 1.4958,                 1.6759,                0.56809,                0.65175,                0.62442,                0.29496,                 1.8097,                 1.5808,                 2.0531,               0.000953,               0.000953,               0.000953
                     14,                 1.7212,                 1.4546,                 1.6748,                0.58682,                0.63648,                0.63485,                0.29423,                 1.8516,                 1.5689,                 2.0587,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.7347,                 1.4577,                 1.6984,                0.54774,                0.52898,                0.55444,                0.26234,                 2.0071,                 1.8619,                 2.2095,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.6945,                 1.3347,                 1.6582,                0.60311,                0.62995,                0.62877,                0.30852,                 1.8056,                 1.5222,                 2.0411,             0.00087875,             0.00087875,             0.00087875
                     17,                  1.669,                 1.3391,                 1.6448,                 0.6879,                0.59225,                0.63226,                0.29675,                   1.84,                 1.5916,                 2.0637,               0.000854,               0.000854,               0.000854
                     18,                 1.6803,                 1.3197,                 1.6642,                0.64979,                0.66286,                0.69123,                0.31569,                 1.8905,                 1.4655,                 2.1217,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.6836,                 1.2828,                 1.6308,                0.72211,                0.59991,                0.67778,                0.32035,                 1.7994,                 1.6104,                 2.0291,              0.0008045,              0.0008045,              0.0008045
                     20,                  1.664,                 1.2605,                 1.6536,                0.69008,                0.65565,                0.70396,                0.34714,                 1.8062,                 1.4488,                 2.0312,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.6542,                 1.2709,                 1.6241,                0.66753,                 0.7214,                0.70742,                0.34017,                 1.8009,                 1.3412,                 2.0202,               0.000755,               0.000755,               0.000755
                     22,                 1.6166,                 1.2437,                 1.6171,                 0.6625,                0.70735,                0.70827,                0.32369,                 1.8398,                 1.3655,                 2.0819,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.5608,                 1.1724,                 1.5989,                0.72143,                0.71996,                0.74344,                 0.3662,                 1.7675,                 1.2865,                 1.9964,              0.0007055,              0.0007055,              0.0007055
                     24,                 1.5737,                 1.1729,                 1.6021,                0.66742,                0.69126,                0.69751,                0.31824,                  1.933,                 1.4501,                 2.1356,             0.00068075,             0.00068075,             0.00068075
                     25,                  1.572,                 1.1437,                  1.597,                0.68931,                0.72529,                0.74136,                0.36526,                 1.8064,                 1.3034,                 2.0353,               0.000656,               0.000656,               0.000656
                     26,                 1.5714,                 1.1138,                 1.5796,                0.65089,                0.72649,                0.72769,                0.35981,                  1.825,                 1.4042,                 2.0448,             0.00063125,             0.00063125,             0.00063125
